Date	Value
20050101	76
20050102	76
20050103	73
20050104	78
20050105	75
20050106	78
20050107	82
20050108	78
20050109	84
20050110	NA
20050111	77
20050112	81
20050113	81
20050114	90
20050115	NA
20050116	82
20050117	86
20050118	75
20050119	66
20050120	NA
20050121	86
20050122	78
20050123	77
20050124	90
20050125	88
20050126	89
20050127	82
20050128	82
20050129	78
20050130	80
20050131	79
20050201	78
20050202	76
20050203	69
20050204	90
20050205	85
20050206	NA
20050207	87
20050208	80
20050209	NA
20050210	81
20050211	86
20050212	NA
20050213	84
20050214	82
20050215	75
20050216	74
20050217	77
20050218	83
20050219	78
20050220	NA
20050221	75
20050222	77
20050223	72
20050224	69
20050225	80
20050226	76
20050227	76
20050228	69
20050301	NA
20050302	78
20050303	87
20050304	78
20050305	81
20050306	88
20050307	NA
20050308	NA
20050309	NA
20050310	83
20050311	NA
20050312	79
20050313	75
20050314	74
20050315	NA
20050316	NA
20050317	73
20050318	NA
20050319	76
20050320	75
20050321	73
20050322	NA
20050323	NA
20050324	83
20050325	76
20050326	NA
20050327	74
20050328	79
20050329	75
20050330	72
20050331	74
20050401	76
20050402	NA
20050403	NA
20050404	84
20050405	NA
20050406	87
20050407	85
20050408	80
20050409	NA
20050410	NA
20050411	80
20050412	77
20050413	79
20050414	NA
20050415	89
20050416	NA
20050417	NA
20050418	NA
20050419	NA
20050420	84
20050421	NA
20050422	84
20050423	NA
20050424	76
20050425	NA
20050426	79
20050427	NA
20050428	85
20050429	90
20050430	82
20050501	NA
20050502	NA
20050503	79
20050504	71
20050505	81
20050506	78
20050507	NA
20050508	77
20050509	NA
20050510	NA
20050511	NA
20050512	NA
20050513	NA
20050514	83
20050515	NA
20050516	NA
20050517	NA
20050518	81
20050519	85
20050520	80
20050521	81
20050522	82
20050523	88
20050524	81
20050525	82
20050526	91
20050527	83
20050528	NA
20050529	NA
20050530	NA
20050531	NA
20050601	86
20050602	79
20050603	79
20050604	86
20050605	81
20050606	86
20050607	80
20050608	79
20050609	NA
20050610	89
20050611	73
20050612	NA
20050613	82
20050614	79
20050615	77
20050616	83
20050617	82
20050618	78
20050619	86
20050620	NA
20050621	NA
20050622	84
20050623	83
20050624	89
20050625	91
20050626	NA
20050627	87
20050628	NA
20050629	85
20050630	80
20050701	80
20050702	82
20050703	78
20050704	75
20050705	83
20050706	77
20050707	73
20050708	82
20050709	81
20050710	81
20050711	85
20050712	84
20050713	82
20050714	81
20050715	82
20050716	81
20050717	83
20050718	91
20050719	85
20050720	85
20050721	84
20050722	83
20050723	81
20050724	81
20050725	86
20050726	83
20050727	82
20050728	83
20050729	86
20050730	87
20050731	85
20050801	86
20050802	83
20050803	81
20050804	81
20050805	90
20050806	81
20050807	80
20050808	NA
20050809	86
20050810	85
20050811	89
20050812	88
20050813	86
20050814	77
20050815	83
20050816	87
20050817	84
20050818	76
20050819	79
20050820	83
20050821	83
20050822	87
20050823	83
20050824	92
20050825	NA
20050826	81
20050827	80
20050828	86
20050829	76
20050830	78
20050831	NA
20050901	79
20050902	84
20050903	83
20050904	80
20050905	83
20050906	82
20050907	80
20050908	82
20050909	80
20050910	82
20050911	81
20050912	84
20050913	82
20050914	80
20050915	85
20050916	78
20050917	80
20050918	84
20050919	80
20050920	79
20050921	85
20050922	83
20050923	81
20050924	84
20050925	85
20050926	78
20050927	80
20050928	83
20050929	74
20050930	78
20051001	85
20051002	75
20051003	NA
20051004	81
20051005	NA
20051006	80
20051007	82
20051008	84
20051009	92
20051010	73
20051011	72
20051012	81
20051013	71
20051014	81
20051015	71
20051016	70
20051017	76
20051018	79
20051019	NA
20051020	NA
20051021	NA
20051022	79
20051023	76
20051024	81
20051025	81
20051026	85
20051027	88
20051028	80
20051029	87
20051030	86
20051031	NA
20051101	85
20051102	79
20051103	81
20051104	87
20051105	78
20051106	86
20051107	83
20051108	86
20051109	90
20051110	NA
20051111	84
20051112	77
20051113	88
20051114	84
20051115	80
20051116	77
20051117	78
20051118	85
20051119	82
20051120	69
20051121	80
20051122	73
20051123	NA
20051124	80
20051125	88
20051126	80
20051127	81
20051128	73
20051129	74
20051130	NA
20051201	79
20051202	78
20051203	79
20051204	75
20051205	NA
20051206	69
20051207	83
20051208	83
20051209	77
20051210	83
20051211	82
20051212	90
20051213	83
20051214	77
20051215	83
20051216	77
20051217	NA
20051218	NA
20051219	79
20051220	83
20051221	86
20051222	75
20051223	85
20051224	79
20051225	83
20051226	76
20051227	79
20051228	75
20051229	73
20051230	NA
20051231	NA
20060101	82
20060102	78
20060103	78
20060104	75
20060105	91
20060106	76
20060107	84
20060108	77
20060109	83
20060110	77
20060111	80
20060112	NA
20060113	76
20060114	81
20060115	77
20060116	NA
20060117	79
20060118	77
20060119	NA
20060120	68
20060121	71
20060122	76
20060123	82
20060124	79
20060125	85
20060126	76
20060127	81
20060128	84
20060129	83
20060130	79
20060131	NA
20060201	NA
20060202	80
20060203	80
20060204	84
20060205	78
20060206	79
20060207	76
20060208	84
20060209	74
20060210	NA
20060211	77
20060212	80
20060213	80
20060214	74
20060215	NA
20060216	68
20060217	75
20060218	74
20060219	75
20060220	70
20060221	69
20060222	70
20060223	72
20060224	NA
20060225	71
20060226	66
20060227	NA
20060228	NA
20060301	NA
20060302	NA
20060303	NA
20060304	75
20060305	76
20060306	84
20060307	89
20060308	83
20060309	76
20060310	73
20060311	77
20060312	74
20060313	70
20060314	68
20060315	72
20060316	70
20060317	NA
20060318	85
20060319	78
20060320	73
20060321	75
20060322	82
20060323	87
20060324	82
20060325	81
20060326	91
20060327	90
20060328	NA
20060329	NA
20060330	82
20060331	77
20060401	78
20060402	NA
20060403	72
20060404	85
20060405	80
20060406	81
20060407	82
20060408	79
20060409	89
20060410	83
20060411	82
20060412	93
20060413	84
20060414	81
20060415	76
20060416	83
20060417	NA
20060418	NA
20060419	79
20060420	NA
20060421	NA
20060422	NA
20060423	88
20060424	86
20060425	86
20060426	NA
20060427	NA
20060428	NA
20060429	NA
20060430	88
20060501	96
20060502	96
20060503	84
20060504	86
20060505	81
20060506	84
20060507	84
20060508	85
20060509	NA
20060510	85
20060511	86
20060512	79
20060513	82
20060514	81
20060515	89
20060516	80
20060517	80
20060518	80
20060519	NA
20060520	81
20060521	79
20060522	75
20060523	81
20060524	83
20060525	NA
20060526	84
20060527	83
20060528	86
20060529	85
20060530	80
20060531	85
20060601	85
20060602	80
20060603	85
20060604	85
20060605	76
20060606	81
20060607	82
20060608	87
20060609	85
20060610	81
20060611	82
20060612	81
20060613	81
20060614	86
20060615	76
20060616	81
20060617	85
20060618	83
20060619	82
20060620	NA
20060621	80
20060622	79
20060623	91
20060624	87
20060625	87
20060626	78
20060627	80
20060628	89
20060629	80
20060630	79
20060701	74
20060702	80
20060703	84
20060704	82
20060705	83
20060706	75
20060707	88
20060708	77
20060709	NA
20060710	75
20060711	77
20060712	81
20060713	84
20060714	83
